Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1975,1975,100 g/ha,50312,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1975,1975,t,175590,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1976,1976,ha,22000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1976,1976,100 g/ha,89727,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1976,1976,t,197400,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1977,1977,ha,20700,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1977,1977,100 g/ha,86860,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1977,1977,t,179800,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1978,1978,ha,26088,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1978,1978,100 g/ha,78527,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1978,1978,t,204860,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1979,1979,ha,27995,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1979,1979,100 g/ha,80049,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1979,1979,t,224097,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1980,1980,ha,21000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1980,1980,100 g/ha,77143,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1980,1980,t,162000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1981,1981,ha,26000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1981,1981,100 g/ha,72346,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1981,1981,t,188100,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1982,1982,ha,33700,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1982,1982,100 g/ha,65223,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1982,1982,t,219800,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1983,1983,ha,25000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1983,1983,100 g/ha,66000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1983,1983,t,165000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1984,1984,ha,20000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1984,1984,100 g/ha,94000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1984,1984,t,188000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1985,1985,ha,20000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1985,1985,100 g/ha,98000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1985,1985,t,196000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1986,1986,ha,26000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1986,1986,100 g/ha,76538,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1986,1986,t,199000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1987,1987,ha,26500,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1987,1987,100 g/ha,75472,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1987,1987,t,200000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1988,1988,ha,22000,E,Estimated value,
